key,product_code,description,step_name,machine,start_time,end_time,duration_min,machine_group,machine_prefix,machine_num,log_duration
Qd9J4pP84EaQQJy8RPbtIP,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,FG Transfer,MX-3,6/6/2024 14:41:00,6/7/2024 15:25:00,824.0,MX,MX,3,6.715383386334681
q89vam0uShcAkb9DfdZ5J7,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,PMWS Printing,BKM-11,6/17/2024 13:01:00,6/17/2024 13:02:00,1.0,BKM,BKM,11,0.6931471805599453
iqRfMXe4EqZ5aIgD0sCd9U,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,PMWS Printing,BKM-11,6/17/2024 7:38:00,6/17/2024 7:39:00,1.0,BKM,BKM,11,0.6931471805599453
nZbxeRAQRpEEPnG7FGnb1X,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Load,PMX-2,6/15/2024 12:10:00,6/15/2024 12:20:00,10.0,PMX,PMX,2,2.3978952727983707
wIiXECstAaUFgtr6wAJttV,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Load,PMX-2,6/15/2024 12:25:00,6/15/2024 12:45:00,20.0,PMX,PMX,2,3.044522437723423
9YY0bF0TMwhREzxNV7n6BQ,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind (Part B),PMX-2,6/15/2024 12:50:00,6/15/2024 14:30:00,100.0,PMX,PMX,2,4.61512051684126
uiPSWEkGilW1fqZ27xzrgX,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Load,MX-3,6/16/2024 8:35:00,6/16/2024 10:00:00,85.0,MX,MX,3,4.454347296253507
RwnZmov2fCn3tL8RJCIdcM,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Transfer of Millbase,MX-3,6/16/2024 10:35:00,6/16/2024 11:55:00,80.0,MX,MX,3,4.394449154672439
Gc638deK5MQEZ3sVozTzAe,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Letdown,MX-3,6/16/2024 12:00:00,6/16/2024 12:40:00,40.0,MX,MX,3,3.713572066704308
kZROmcj43FG82IyienfjT6,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Load,PMX-4,6/16/2024 11:45:00,6/16/2024 12:00:00,15.0,PMX,PMX,4,2.772588722239781
vgC4JprV3EhRzBgXt80zp1,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Load,PMX-4,6/16/2024 12:00:00,6/16/2024 12:15:00,15.0,PMX,PMX,4,2.772588722239781
IZz3ocn8koXsi8euieeX4D,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind (Part B),PMX-4,6/16/2024 12:15:00,6/16/2024 13:30:00,75.0,PMX,PMX,4,4.330733340286331
n04hmx1GHKZrDKFjAoRUrG,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind (Part B),PMX-4,6/17/2024 6:15:00,6/17/2024 6:40:00,25.0,PMX,PMX,4,3.258096538021482
vgnvvOiJeiRw6OWBCBBPSP,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Load,MX-5,6/17/2024 8:40:00,6/17/2024 10:00:00,80.0,MX,MX,5,4.394449154672439
q7iqZYV8K6qKwBPKQFDonp,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Transfer of Millbase,MX-5,6/17/2024 10:30:00,6/17/2024 12:20:00,110.0,MX,MX,5,4.709530201312334
PzHdBsG2AQ5JczLgEpVNrA,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Letdown,MX-5,6/17/2024 12:00:00,6/17/2024 12:50:00,50.0,MX,MX,5,3.9318256327243257
hkdyxgeedJfnBqGmzHipHz,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,FG Transfer,PMX-4,6/15/2024 9:08:00,6/15/2024 12:41:00,213.0,PMX,PMX,4,5.365976015021851
hLN2MIwPrYEN4KAIoq1asT,RM2-ACX-60,DAVIES ACREEX BLACK,Premix,HSM-1,6/10/2024 8:05:00,6/10/2024 8:20:00,15.0,HSM,HSM,1,2.772588722239781
pDvPhyk3pTkqN4QkTNWvoy,RM2-ACX-60,DAVIES ACREEX BLACK,Grind,BKM-5,6/13/2024 7:30:00,6/13/2024 11:30:00,240.0,BKM,BKM,5,5.484796933490655
aUSV0rHdd97HD1KvRxck36,RM2-ACX-60,DAVIES ACREEX BLACK,Premix,HSM-1,6/10/2024 8:30:00,6/10/2024 8:45:00,15.0,HSM,HSM,1,2.772588722239781
F7DZuBSjCmabXNRTGPQuQo,RM2-ACX-60,DAVIES ACREEX BLACK,Grind,BKM-5,6/13/2024 11:30:00,6/13/2024 12:30:00,60.0,BKM,BKM,5,4.110873864173311
30EbHF5kb7j6vgZ9mJxdzs,RM2-ACX-60,DAVIES ACREEX BLACK,Grind,BKM-5,6/14/2024 6:30:00,6/14/2024 11:30:00,300.0,BKM,BKM,5,5.707110264748875
pzQZlMHjuzpaMSEs1XZGWe,RM2-ACX-60,DAVIES ACREEX BLACK,Grits Check,BKM-5,6/14/2024 11:30:00,6/14/2024 12:30:00,60.0,BKM,BKM,5,4.110873864173311
1XAwAwtK0p6MQhY6fgHue5,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,SAP Posting - Std,BKM-11,6/20/2024 8:24:00,6/20/2024 8:26:00,2.0,BKM,BKM,11,1.0986122886681098
2U8ouJOUWwPVqLpvXqOELb,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Packing,BKM-11,5/28/2024 12:25:00,5/28/2024 16:00:00,215.0,BKM,BKM,11,5.375278407684165
g9kHoDC82i1pny5go9HLjb,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Premix,HSM-1,6/15/2024 12:30:00,6/15/2024 12:45:00,15.0,HSM,HSM,1,2.772588722239781
niW70iKxFad81aBv2aLFsL,RM2-ACX-60,DAVIES ACREEX BLACK,Grind,BKM-6,6/20/2024 8:30:00,6/20/2024 15:30:00,420.0,BKM,BKM,6,6.042632833682381
VAMxC2uZ30F5ByvpgA46gx,RM2-ACX-60,DAVIES ACREEX BLACK,Grind,BKM-6,6/21/2024 6:30:00,6/21/2024 8:30:00,120.0,BKM,BKM,6,4.795790545596741
6vTtH1DSuu4z6b8XaU09sM,RM2-ACX-60,DAVIES ACREEX BLACK,Grits Check,BKM-6,6/21/2024 8:30:00,6/21/2024 9:30:00,60.0,BKM,BKM,6,4.110873864173311
yW5Hg1S9tx71s7Z5QCFzWb,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind,BKM-11,6/22/2024 12:30:00,6/22/2024 13:30:00,60.0,BKM,BKM,11,4.110873864173311
ze3tgTgEhvooZyspxi8ZwG,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind,BKM-11,6/23/2024 6:00:00,6/23/2024 12:00:00,360.0,BKM,BKM,11,5.8888779583328805
KPxwIW96PWki6Vqymcddxg,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grits Check,BKM-11,6/23/2024 12:00:00,6/23/2024 13:00:00,60.0,BKM,BKM,11,4.110873864173311
